"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D4,D1,D5,D2,D7,D6,D3";"LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm";7;"SK6812MINI";;;
2;"SW4";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
3;"SW1,SW5,SW7,SW8,SW6,SW3,SW2";"SW_Cherry_MX_1.00u_PCB";7;"SW_Push";;;
4;"U1";"XIAO-RP2040-DIP";1;"XIAO-RP2040-DIP";;;
